# x_m,y_m,w_tr_right_m,w_tr_left_m
2.8600,-3.2010,0.6185,0.6185
2.8600,-3.2510,0.6083,0.6083
2.8600,-3.3010,0.6021,0.6021
2.8600,-3.3510,0.6000,0.6000
2.8100,-3.4010,0.5523,0.5523
2.8100,-3.4510,0.5590,0.5590
2.8100,-3.5010,0.5701,0.5701
2.8100,-3.5510,0.5852,0.5852
2.8100,-3.6010,0.6042,0.6042
2.7600,-3.6510,0.5831,0.5831
2.7600,-3.7010,0.6103,0.6103
2.7600,-3.7510,0.6403,0.6403
2.7600,-3.8010,0.6265,0.6265
2.7100,-3.8510,0.6500,0.6500
2.6600,-3.9010,0.6801,0.6801
2.6100,-3.9510,0.6708,0.6708
2.5600,-4.0010,0.6519,0.6519
2.5100,-4.0510,0.6021,0.6021
2.4600,-4.1010,0.5500,0.5500
2.4100,-4.1510,0.5000,0.5000
2.3600,-4.2010,0.4500,0.4500
2.3100,-4.2010,0.4528,0.4528
2.2600,-4.2010,0.4610,0.4610
2.2100,-4.2510,0.4272,0.4272
2.1600,-4.2510,0.4472,0.4472
2.1100,-4.2510,0.4610,0.4610
2.0600,-4.3010,0.4272,0.4272
2.0100,-4.3010,0.4472,0.4472
1.9600,-4.3510,0.4123,0.4123
1.9100,-4.3510,0.4272,0.4272
1.8600,-4.3510,0.4472,0.4472
1.8100,-4.4010,0.4123,0.4123
1.7600,-4.4010,0.4272,0.4272
1.7100,-4.4010,0.4472,0.4472
1.6600,-4.4010,0.4272,0.4272
1.6100,-4.4010,0.4123,0.4123
1.5600,-4.4010,0.4031,0.4031
1.5100,-4.4510,0.4500,0.4500
1.4600,-4.4510,0.4500,0.4500
1.4100,-4.4510,0.4500,0.4500
1.3600,-4.5010,0.5000,0.5000
1.3100,-4.5010,0.5000,0.5000
1.2600,-4.5010,0.5000,0.5000
1.2100,-4.5010,0.5000,0.5000
1.1600,-4.5010,0.5000,0.5000
1.1100,-4.5010,0.5000,0.5000
1.0600,-4.5010,0.5000,0.5000
1.0100,-4.5010,0.5000,0.5000
0.9600,-4.5510,0.5500,0.5500
0.9100,-4.5510,0.5500,0.5500
0.8600,-4.5510,0.5500,0.5500
0.8100,-4.5510,0.5500,0.5500
