-0.2449791,-11.5073727,3.6192142
-0.3755663,-11.3604438,3.5537711
-0.4789403,-11.1934704,3.5186967
-0.5498906,-11.0103853,3.5048992
-0.5849697,-10.8171355,3.4910473
-0.5829611,-10.6207996,3.4898831
-0.5462368,-10.4277328,3.5318013
-0.4793386,-10.2429580,3.6276070
-0.3854189,-10.0703917,3.7153752
-0.2674962,-9.9131453,3.7969864
-0.1286799,-9.7740201,3.8696650
0.0281988,-9.6556350,3.9220705
0.1999780,-9.5601552,3.9631679
0.3831912,-9.4890146,3.9977018
0.5741849,-9.4425976,4.0449892
0.7695485,-9.4208293,4.0973636
0.9661004,-9.4233830,4.1491130
1.1609294,-9.4497604,4.1667536
1.3510530,-9.4996135,4.0935276
1.5336396,-9.5724202,4.0124099
1.7059687,-9.6670618,3.8966735
1.8645740,-9.7830391,3.7801566
2.0058385,-9.9196646,3.6662578
2.1262193,-10.0750367,3.5582310
2.2202809,-10.2474644,3.4939767
2.2822895,-10.4338544,3.4566145
2.3079823,-10.6286271,3.4430605
2.2945695,-10.8244119,3.4294529
2.2428618,-11.0139224,3.4196538
2.1581841,-11.1912200,3.4853535
2.0455853,-11.3522108,3.5744336
1.9099825,-11.4944731,3.6785041
1.7562793,-11.6169445,3.8040666
1.5882831,-11.7189250,3.9242075
1.4091077,-11.7999114,4.0342044
1.2218031,-11.8593303,4.1301089
1.0287765,-11.8966950,4.2060616
0.8326830,-11.9113474,4.2605585
0.6363320,-11.9027082,4.2593992
0.4423268,-11.8706403,4.2005713
0.2538654,-11.8148651,4.1670064
0.0741973,-11.7350617,4.1363457
-0.0933982,-11.6323290,4.1201264
-0.2449791,-11.5073727,3.6192142
